"Data","Czas","Szerokość","Długość geograficzna","Typ lokalizacji","PRĘDKOŚĆ (KPH)","POZIOM BATERII(%)","Połącz"
"18/08/2022","08:34:27",50.817423,19.113843,"gsm",0,20,"=HYPERLINK(""https://maps.google.com/maps?q=50.817423,19.113843"")"
"18/08/2022","08:34:29",50.81781743,19.11201183,"wifi",0,20,"=HYPERLINK(""https://maps.google.com/maps?q=50.81781743,19.11201183"")"
"18/08/2022","08:34:35",50.81781743,19.11201183,"wifi",0,20,"=HYPERLINK(""https://maps.google.com/maps?q=50.81781743,19.11201183"")"
"18/08/2022","08:35:05",50.81781743,19.11201183,"wifi",0,23,"=HYPERLINK(""https://maps.google.com/maps?q=50.81781743,19.11201183"")"
"18/08/2022","08:35:19",50.817893,19.112153,"gps",0,23,"=HYPERLINK(""https://maps.google.com/maps?q=50.817893,19.112153"")"
"18/08/2022","08:35:24",50.81794739,19.11209107,"gps",5,23,"=HYPERLINK(""https://maps.google.com/maps?q=50.81794739,19.11209107"")"
"18/08/2022","08:35:34",50.81799031,19.11204815,"gps",0,39,"=HYPERLINK(""https://maps.google.com/maps?q=50.81799031,19.11204815"")"
"18/08/2022","08:35:44",50.81807614,19.11204815,"gps",0,39,"=HYPERLINK(""https://maps.google.com/maps?q=50.81807614,19.11204815"")"
"18/08/2022","08:35:54",50.81818343,19.1120267,"gps",3,39,"=HYPERLINK(""https://maps.google.com/maps?q=50.81818343,19.1120267"")"
"18/08/2022","08:36:04",50.81820488,19.1120267,"gps",0,39,"=HYPERLINK(""https://maps.google.com/maps?q=50.81820488,19.1120267"")"
"18/08/2022","08:36:15",50.81822634,19.11200524,"gps",0,39,"=HYPERLINK(""https://maps.google.com/maps?q=50.81822634,19.11200524"")"
"18/08/2022","08:36:25",50.81822634,19.11200524,"gps",0,39,"=HYPERLINK(""https://maps.google.com/maps?q=50.81822634,19.11200524"")"
"18/08/2022","08:36:35",50.81822634,19.11200524,"gps",0,43,"=HYPERLINK(""https://maps.google.com/maps?q=50.81822634,19.11200524"")"
"18/08/2022","08:36:45",50.81822634,19.11200524,"gps",0,43,"=HYPERLINK(""https://maps.google.com/maps?q=50.81822634,19.11200524"")"
"18/08/2022","08:36:55",50.81822634,19.11200524,"gps",0,43,"=HYPERLINK(""https://maps.google.com/maps?q=50.81822634,19.11200524"")"
"18/08/2022","08:37:05",50.81822634,19.11200524,"gps",0,43,"=HYPERLINK(""https://maps.google.com/maps?q=50.81822634,19.11200524"")"
"18/08/2022","08:37:15",50.81822634,19.11200524,"gps",0,43,"=HYPERLINK(""https://maps.google.com/maps?q=50.81822634,19.11200524"")"
"18/08/2022","08:37:25",50.81822634,19.11200524,"gps",0,43,"=HYPERLINK(""https://maps.google.com/maps?q=50.81822634,19.11200524"")"
"18/08/2022","08:37:35",50.81822634,19.11200524,"gps",0,44,"=HYPERLINK(""https://maps.google.com/maps?q=50.81822634,19.11200524"")"
"18/08/2022","08:37:45",50.81822634,19.11200524,"gps",0,44,"=HYPERLINK(""https://maps.google.com/maps?q=50.81822634,19.11200524"")"
"18/08/2022","08:37:55",50.81822634,19.11200524,"gps",0,44,"=HYPERLINK(""https://maps.google.com/maps?q=50.81822634,19.11200524"")"
"18/08/2022","08:38:05",50.81822634,19.11200524,"gps",0,44,"=HYPERLINK(""https://maps.google.com/maps?q=50.81822634,19.11200524"")"
"18/08/2022","08:38:15",50.8180976,19.1120267,"gps",0,44,"=HYPERLINK(""https://maps.google.com/maps?q=50.8180976,19.1120267"")"
"18/08/2022","08:38:25",50.8180976,19.1120267,"gps",0,44,"=HYPERLINK(""https://maps.google.com/maps?q=50.8180976,19.1120267"")"
"18/08/2022","08:38:35",50.81811905,19.11200524,"gps",0,46,"=HYPERLINK(""https://maps.google.com/maps?q=50.81811905,19.11200524"")"
"18/08/2022","08:38:45",50.81803322,19.11200524,"gps",0,46,"=HYPERLINK(""https://maps.google.com/maps?q=50.81803322,19.11200524"")"
"18/08/2022","08:38:55",50.81790448,19.11200524,"gps",0,46,"=HYPERLINK(""https://maps.google.com/maps?q=50.81790448,19.11200524"")"
"18/08/2022","08:39:05",50.81792594,19.1120267,"gps",0,46,"=HYPERLINK(""https://maps.google.com/maps?q=50.81792594,19.1120267"")"
"18/08/2022","08:39:15",50.81792594,19.1120267,"gps",0,46,"=HYPERLINK(""https://maps.google.com/maps?q=50.81792594,19.1120267"")"
"18/08/2022","08:39:25",50.81792594,19.1120267,"gps",0,46,"=HYPERLINK(""https://maps.google.com/maps?q=50.81792594,19.1120267"")"
"18/08/2022","08:39:35",50.81792594,19.1120267,"gps",0,47,"=HYPERLINK(""https://maps.google.com/maps?q=50.81792594,19.1120267"")"
"18/08/2022","08:39:45",50.81792594,19.1120267,"gps",0,47,"=HYPERLINK(""https://maps.google.com/maps?q=50.81792594,19.1120267"")"
"18/08/2022","08:39:55",50.81792594,19.1120267,"gps",0,47,"=HYPERLINK(""https://maps.google.com/maps?q=50.81792594,19.1120267"")"
"18/08/2022","08:40:05",50.81792594,19.1120267,"gps",0,47,"=HYPERLINK(""https://maps.google.com/maps?q=50.81792594,19.1120267"")"
"18/08/2022","08:40:16",50.81792594,19.1120267,"gps",0,47,"=HYPERLINK(""https://maps.google.com/maps?q=50.81792594,19.1120267"")"
"18/08/2022","08:40:26",50.81792594,19.1120267,"gps",0,47,"=HYPERLINK(""https://maps.google.com/maps?q=50.81792594,19.1120267"")"
"18/08/2022","08:41:06",50.81792594,19.1120267,"gps",0,48,"=HYPERLINK(""https://maps.google.com/maps?q=50.81792594,19.1120267"")"
"18/08/2022","08:41:16",50.81792594,19.1120267,"gps",0,48,"=HYPERLINK(""https://maps.google.com/maps?q=50.81792594,19.1120267"")"
"18/08/2022","08:41:26",50.81792594,19.1120267,"gps",0,48,"=HYPERLINK(""https://maps.google.com/maps?q=50.81792594,19.1120267"")"
"18/08/2022","08:41:36",50.81792594,19.1120267,"gps",0,48,"=HYPERLINK(""https://maps.google.com/maps?q=50.81792594,19.1120267"")"
"18/08/2022","08:41:46",50.81792594,19.1120267,"gps",0,48,"=HYPERLINK(""https://maps.google.com/maps?q=50.81792594,19.1120267"")"
"18/08/2022","08:41:56",50.81792594,19.1120267,"gps",0,48,"=HYPERLINK(""https://maps.google.com/maps?q=50.81792594,19.1120267"")"
"18/08/2022","08:42:06",50.81792594,19.1120267,"gps",0,48,"=HYPERLINK(""https://maps.google.com/maps?q=50.81792594,19.1120267"")"
"18/08/2022","08:42:16",50.81792594,19.1120267,"gps",0,48,"=HYPERLINK(""https://maps.google.com/maps?q=50.81792594,19.1120267"")"
"18/08/2022","08:42:26",50.81792594,19.1120267,"gps",0,48,"=HYPERLINK(""https://maps.google.com/maps?q=50.81792594,19.1120267"")"
"18/08/2022","08:42:36",50.81792594,19.1120267,"gps",0,50,"=HYPERLINK(""https://maps.google.com/maps?q=50.81792594,19.1120267"")"
"18/08/2022","08:42:46",50.81792594,19.1120267,"gps",0,50,"=HYPERLINK(""https://maps.google.com/maps?q=50.81792594,19.1120267"")"
"18/08/2022","08:42:56",50.81792594,19.1120267,"gps",0,50,"=HYPERLINK(""https://maps.google.com/maps?q=50.81792594,19.1120267"")"
"18/08/2022","08:43:06",50.81792594,19.1120267,"gps",0,50,"=HYPERLINK(""https://maps.google.com/maps?q=50.81792594,19.1120267"")"
"18/08/2022","08:43:16",50.81792594,19.1120267,"gps",0,50,"=HYPERLINK(""https://maps.google.com/maps?q=50.81792594,19.1120267"")"
"18/08/2022","08:43:26",50.81792594,19.1120267,"gps",0,50,"=HYPERLINK(""https://maps.google.com/maps?q=50.81792594,19.1120267"")"
"18/08/2022","08:43:36",50.81792594,19.1120267,"gps",0,51,"=HYPERLINK(""https://maps.google.com/maps?q=50.81792594,19.1120267"")"
"18/08/2022","08:43:46",50.81792594,19.1120267,"gps",0,51,"=HYPERLINK(""https://maps.google.com/maps?q=50.81792594,19.1120267"")"
"18/08/2022","08:43:56",50.81792594,19.1120267,"gps",0,51,"=HYPERLINK(""https://maps.google.com/maps?q=50.81792594,19.1120267"")"
"18/08/2022","08:44:06",50.81792594,19.1120267,"gps",0,51,"=HYPERLINK(""https://maps.google.com/maps?q=50.81792594,19.1120267"")"
"18/08/2022","08:44:17",50.81792594,19.1120267,"gps",0,51,"=HYPERLINK(""https://maps.google.com/maps?q=50.81792594,19.1120267"")"
"18/08/2022","08:44:27",50.81792594,19.1120267,"gps",0,51,"=HYPERLINK(""https://maps.google.com/maps?q=50.81792594,19.1120267"")"
"18/08/2022","08:44:37",50.81792594,19.1120267,"gps",0,49,"=HYPERLINK(""https://maps.google.com/maps?q=50.81792594,19.1120267"")"
"18/08/2022","08:44:47",50.81792594,19.1120267,"gps",0,49,"=HYPERLINK(""https://maps.google.com/maps?q=50.81792594,19.1120267"")"
"18/08/2022","08:44:57",50.81792594,19.1120267,"gps",0,49,"=HYPERLINK(""https://maps.google.com/maps?q=50.81792594,19.1120267"")"
"18/08/2022","08:45:07",50.81792594,19.1120267,"gps",0,49,"=HYPERLINK(""https://maps.google.com/maps?q=50.81792594,19.1120267"")"
